episode,restaurant,city,address,lat,lon,precision,score,tags,video_id,url,transcript_path
65,Moose Hill,Lakewood,"Moose Hill Cantina, 11911, West Colfax Avenue, Lakewood, Jefferson County, Colorado, 80215, United States",39.7404585,-105.1322048,restaurant,5.0,"vegetarian,gluten-free,pork",OAdKwEaBUUo,https://youtube.com/shorts/OAdKwEaBUUo,transcripts/018_Green_Chile_Reviews_Ep_65_-_Moose_Hill_OAdKwEaBUUo.txt
64,Salsas,Denver,"Tacos y Salsas, 9103, East Colfax Avenue, Aurora, Adams County, Colorado, 80010, United States",39.7403182,-104.882118,restaurant,3.7,hatch/NM chilies,fDMwTPJyil8,https://youtube.com/shorts/fDMwTPJyil8,transcripts/019_Green_Chile_Reviews_Ep_64_-_Salsas_fDMwTPJyil8.txt
63,TJ's,Lakewood,"7893 W Jewell Ave, Lakewood, CO 80232",39.682144,-105.08627,restaurant,4.4,,wphQ-38o-xs,https://youtube.com/shorts/wphQ-38o-xs,transcripts/020_Green_Chile_Reviews_Ep_63_-_TJs_wphQ-38o-xs.txt
62,Jaime's,Lakewood,"Jaime's Mexican Restaurant, 1910, South Depew Street, Denver, Colorado, 80227, United States",39.6816563,-105.0570507,restaurant,3.5,pork,xR82cKQgJPc,https://youtube.com/shorts/xR82cKQgJPc,transcripts/021_Green_Chile_Reviews_Ep_62_-_Jaimes_xR82cKQgJPc.txt
60,Island Grill,Fort Collins,"Island Grill, 2601, South Lemay Avenue, Fort Collins, Larimer County, Colorado, 80525, United States",40.5515606,-105.0597792,restaurant,1.6,,z_yUAeQA12w,https://youtube.com/shorts/z_yUAeQA12w,transcripts/022_Green_Chile_Reviews_Ep_60_-_Island_Grill_z_yUAeQA12w.txt
59,Niwot Market,Niwot,"Niwot Market, Niwot Road, Niwot, Boulder County, Colorado, 80544, United States",40.1011281,-105.167165,restaurant,4.6,"gluten-free,pork",fwD343eqjww,https://youtube.com/shorts/fwD343eqjww,transcripts/023_Green_Chile_Reviews_Ep_59_-_Niwot_Market_fwD343eqjww.txt
58,La Casita Mexican Cuisine,Fort Collins,"La Casita Mexican Cuisine, 1720, West Mulberry Street, Fort Collins, Larimer County, Colorado, 80521, United States",40.5822751,-105.1073398,restaurant,4.1,"vegetarian,super-hot,smooth",c--5Yt6Em5E,https://youtube.com/shorts/c--5Yt6Em5E,transcripts/024_Green_Chile_Reviews_Ep_58_-_La_Casita_Mexican_Cuisine_greenchile_fortcollinscolo_c--5Yt6Em5E.txt
57,Consuelo's Express,Fort Collins,"Consuelo's Express, 726, South Lemay Avenue, Fort Collins, Larimer County, Colorado, 80524, United States",40.5773059,-105.057576,restaurant,5.0,"vegetarian,hatch/NM chilies",P-PX143O_JI,https://youtube.com/shorts/P-PX143O_JI,transcripts/025_Green_Chile_Reviews_Ep_57_-_Consuelos_Express_greenchile_food_P-PX143O_JI.txt
56,Las Palmas,Thornton,"Las Palmas, East 121st Avenue, Mission Trace, Eastlake, Thornton, Adams County, Colorado, 80614, United States",39.9164209,-104.9419149,restaurant,3.3,,QzKEce2NBwM,https://youtube.com/shorts/QzKEce2NBwM,transcripts/026_Green_Chile_Reviews_Ep_56_-_Las_Palmas_QzKEce2NBwM.txt
55,300 Suns,Longmont,"300 Suns Brewing, 335, 1st Avenue, Longmont, Boulder County, Colorado, 80501, United States",40.1599152,-105.1012374,restaurant,3.4,smoked-pork,gObPsa0KpRc,https://youtube.com/shorts/gObPsa0KpRc,transcripts/027_Green_Chile_Reviews_Ep_55_-_300_Suns_gObPsa0KpRc.txt
54,Village Coffee Shop,Boulder,"Village Coffee Shop, 1605, Folsom Street, Goss-Grove, Boulder, Boulder County, Colorado, 80302, United States",40.01561,-105.263389,restaurant,4.4,"super-hot,gravy-style",IlrCoEXC4ko,https://youtube.com/shorts/IlrCoEXC4ko,transcripts/028_Green_Chile_Reviews_Ep_54_-_Village_Coffee_Shop_IlrCoEXC4ko.txt
53,Tacos Don Jose's,Longmont,"Tacos Don Jose's, 2255, Main Street, Longmont, Boulder County, Colorado, 80501, United States",40.1984331,-105.1039988,restaurant,4.2,pork,K6_utnyLWqw,https://youtube.com/shorts/K6_utnyLWqw,transcripts/029_Green_Chile_Reviews_Ep_53_-_Tacos_Don_Joses_K6_utnyLWqw.txt
